title	abstract	keywords	discipline	category
分布式系统中的检查点算法	检查点能够保存和恢复程序的运行状态.它在进程迁移、容错、卷回调试等领域都有重要的应用.本文对分布式系统中的检查点算法进行了详细的分类评述.检查点算法可分为单进程和分布式程序检查点算法,分布式程序检查点算法又可分为异步检查点算法和一致检查点算法.同时本文系统介绍了改进检查点算法性能的典型方法.这些改进算法主要采用两个策略来减少算法的开销与延迟:一是减少检查点文件中需要存储的信息量,如增量算法等;二是提高检查点操作与目标程序运行的并行性,如主存算法等.最后,文章讨论了目前检查点算法的局限性和进一步的工作.	检查点_分布式程序_异步检查点算法_一致检查点算法	计算机科学与技术	工学
轧辊的失效及其修复技术	轧辊是轧机的主要变形工具,由于自身材质及其所处的恶劣工作条件,经常发生失效乃至报废,通过修复技术可以延长其使用寿命.综述了冷、热轧辊的工作条件、用材和失效形式,介绍了几种常用的轧辊修复表面技术,并对激光表面合金化技术修复轧辊的发展前景进行了展望.	冷轧辊_热轧辊_失效_修复_表面改性技术	材料科学与工程	工学
活检钳不同预清洗方法的清洗质量评价	目的：探讨活检钳3种不同预清洗方法的清洗质量。方法选择2014年5—8月某院使用后的宫颈活检钳（180件次），随机分为 A、B、C 组，每组60件次。A 组对明显可见污染物进行预冲洗，B 组浸泡于1∶500超浓缩酶液5 min，C 组浸泡于1∶500超浓缩酶液5 min，并在水面下反复开合活检钳至少10次，同时对齿缝、沟槽处进行刷洗。3组不同预清洗后的活检钳均采用带光源放大镜目测、潜血试验及 ATP 生物荧光法进行清洗质量检测。结果采用带光源放大镜目测法进行清洗质量检测，A、B、C 组器械合格率分别为60．00％、63．33％、80．00％；采用潜血试验进行检测，A、B、C 组器械合格率分别为35．00％、50．00％、75．00％；上述两种检测方式均显示 C 组器械合格率高于 A、B 组（均 P ＜0．05）。采用 ATP 生物荧光法检测，A、B、C 组器械合格率分别为95．00％、98．33％、100．00％，3组比较差异无统计学意义（χ2＝3．580，P ＝0．167）。A、B、C 组不同清洗质量检测方法合格率比较，差异均有统计学意义（均 P ＜0．05）。结论活检钳类器械机械清洗前酶液浸泡，手工预清洗时配合反复开合手柄能明显提高清洗质量；目测结合潜血试验是较为理想的清洗质量检测方法。	活检钳_清洗方法_预清洗_清洗质量_潜血试验_ATP 生物荧光检测	公共卫生与预防医学	医学
Rhn(n=2～20)团簇结构和磁特性	使用紧束缚近似多体势和遗传算法,计算了Rhn(n=2～20)团簇的基态结构.据优化结构计算了平均键长(-R),平均配位数(CN),单原子平均束缚能Eb,使用自洽的4d,5s,5p价电子紧束缚模型,计算了单原子平均磁矩-μn和Rhn(n=15,17,18,19)团簇的总的平均电子态密度.结果初步揭示了小铑团簇结构、电子和磁特性之间的关系.	铑团簇_遗传算法_结构_磁性	物理学	理学
一种反激式DC-DC变换器设计与研究	针对电池电源管理中的开关变换器应用,采用NCP1200电流型PWM控制芯片设计了一种多路隔离输出的反激式DC-DC变换器.给出了高频变压器初次级匝数以及相关参数的计算方法.对电路中的各种寄生参数进行建模、分析、计算和测量,并根据这些参数设计了钳位电路,通过实验验证了其可行性.实验结果表明,所设计的阻容二极管(RCD)钳位和阻尼电路对减小开关管应力和电压振荡是有效的,有利于提高变换器的工作效率.	反激式DC-DC变换器_寄生参数_钳位电路	电气工程	工学
航天测控系统卫星鉴定技术研究	"针对基于卫星的航天测控系统精度鉴定技术开展了深入的分析和研究,提出了较为全面的卫星鉴定的思路和技术途径.在时序比对统计方法的基础上对利用卫星进行系统误差分离的方法展开了深入研究,并将比对估计统计方法和"EMBET"自鉴定方法有机结合起来.通过可行性分析和工程应用充分验证了利用卫星对航天测控系统进行精度鉴定的可行性、正确性和优越性."	卫星鉴定_SLR卫星_EMBET_高斯-马尔可夫估计_主成分估计	航空宇航科学与技术	工学
不同能量摄入对围产期奶牛脂肪组织胰岛素受体mRNA丰度的影响	将年龄、胎次相同,年产奶量大于5 000 kg的围产期健康奶牛30头随机分为3组,每组10头.按照中国奶牛饲养标准(2000),低能组饲喂减少20%日粮(能量摄入80%组),对照组饲喂标准日粮(能量摄入100%组),高能组饲喂增加20%日粮(能量摄入120%组),试验从产前14天开始至产后28天结束,产后各组奶牛均饲喂标准日粮.采用半定量RT-PCR方法检测了不同能量摄入对围产期奶牛脂肪组织胰岛素受体(InsR)mRNA丰度的影响.结果表明:各组脂肪InsR mRNA相对表达量从产前14天至产后28天均呈现先升高后降低的趋势,产后14天达到最大值,且产后高于产前;低能组产前InsR mRNA相对表达量低于高能组和正常组,产后1天至产后28天高于高能组和正常组,产后14天显著高于高能组(P＜0.01).可见,干乳期低能饲喂奶牛,产后脂肪InsR mRNA表达增加,提示产前适当降低能量摄入水平,有利于胰岛素抑制泌乳初期脂肪动员作用的发挥.	能量摄入_围产期奶牛_脂肪组织_胰岛素受体mRNA_半定量RT-PCR方法	畜牧学/兽医学	农学
重大军事行动报道的成功实践——兼谈对外开放军事行动中新闻的管控与发布	"上海合作组织全体成员国首次共同参加的联合军事行动--"和平使命-2007"反恐军事演习,8月17日在俄罗斯中部城市车里雅宾斯克的切巴尔库尔合同训练场落下帷幕."	重大军事行动_成功实践_对外开放_新闻_军事演习_合作组织_训练场_俄罗斯_城市车_成员国_中部_使命_上海_合同_反恐	新闻传播学	文学
不忘艺术初心搞好高校“双创”	我们要认真学习、领悟、践行习近平总书记重要讲话精神,以此为理论指南,沿着正确的航向,扎实做好高校“双创”工作.高校的“双创”工作不忘初心,在一定意义上就是指不忘马克思主义艺术哲学的指导地位.“双创”的第一个要领就是习近平总书记强调的思维能力的培养.学会在“双创”的背景下,坚持一种执其两端、取法乎中、兼容整合、全面辩证的和谐思维.一定要旗帜鲜明地提出高等艺术教育要不忘初心,要坚持文化化人、艺术养心.创业要看业态.艺术教育有两种业态:一种是学校艺术教育,另一种是社会艺术教育,两者相辅相成、互补共进.高等艺术教育要培养一批具有中华民族独特精神品格的接班人,绝不搞唯洋是从、唯洋是尊,但是也不闭关锁国、故步自封.这是一批以“各美其美”为基础,又善于“美人自美”,并且更长于“美美与共”的新的艺术家.这样的人才是真正的“双创”人才,能真正创新创业.希望大家在习近平总书记重要讲话精神的指引下,真正沿着有中国特色的艺术学的发展道路,搞好高校艺术教育的“双创”.	文化建设_高校_艺术教育_双创_中国特色的艺术学_可持续发展	艺术学	艺术学
一种业务概念模型驱动的需求分析与获取方法	需求分析是军事电子信息系统建设的难点.本文在总结国外ADL/ESS研究成果基础上,结合军事电子信息系统开发特点,定义了一个通用语义框架,在借鉴UML建模方法基础上形成了一个基于业务概念框架的需求描述语言和建模方法.文章介绍了该方法的基本概念,给出了语言的部分定义,最后用示例描述了建模方法.	军事电子信息系统_需求工程_需求建模_业务语义框架_业务概念模型	军事学	军事学
